Date,Amount,Type,Stock
2012-06-27 00:00:00,0.06,Dividend,ACRE
2012-09-28 00:00:00,0.06,Dividend,ACRE
2012-12-27 00:00:00,0.25,Dividend,ACRE
2013-04-04 00:00:00,0.25,Dividend,ACRE
2013-06-26 00:00:00,0.25,Dividend,ACRE
2013-09-26 00:00:00,0.25,Dividend,ACRE
2013-12-27 00:00:00,0.25,Dividend,ACRE
2014-03-27 00:00:00,0.25,Dividend,ACRE
2014-06-26 00:00:00,0.25,Dividend,ACRE
2014-09-26 00:00:00,0.25,Dividend,ACRE
2014-12-29 00:00:00,0.25,Dividend,ACRE
2015-03-27 00:00:00,0.25,Dividend,ACRE
2015-06-26 00:00:00,0.25,Dividend,ACRE
2015-09-28 00:00:00,0.25,Dividend,ACRE
2015-12-29 00:00:00,0.25,Dividend,ACRE
2016-03-29 00:00:00,0.26,Dividend,ACRE
2016-06-28 00:00:00,0.26,Dividend,ACRE
2016-09-28 00:00:00,0.26,Dividend,ACRE
2016-12-28 00:00:00,0.26,Dividend,ACRE
2017-03-29 00:00:00,0.27,Dividend,ACRE
2017-06-28 00:00:00,0.27,Dividend,ACRE
2017-09-28 00:00:00,0.27,Dividend,ACRE
2017-12-28 00:00:00,0.27,Dividend,ACRE
2018-03-28 00:00:00,0.28,Dividend,ACRE
2018-06-28 00:00:00,0.28,Dividend,ACRE
2018-09-27 00:00:00,0.29,Dividend,ACRE
2018-12-27 00:00:00,0.31,Dividend,ACRE
2019-03-28 00:00:00,0.33,Dividend,ACRE
2019-06-27 00:00:00,0.33,Dividend,ACRE
2019-09-27 00:00:00,0.33,Dividend,ACRE
2019-12-27 00:00:00,0.33,Dividend,ACRE
1988-07-18 00:00:00,0.002525,Dividend,ADBE
1988-09-23 00:00:00,0.002525,Dividend,ADBE
1989-01-05 00:00:00,0.002525,Dividend,ADBE
1989-03-22 00:00:00,0.003231875,Dividend,ADBE
1989-06-14 00:00:00,0.003231875,Dividend,ADBE
1989-09-19 00:00:00,0.003231875,Dividend,ADBE
1990-01-08 00:00:00,0.000195625,Dividend,ADBE
1990-03-26 00:00:00,0.000234375,Dividend,ADBE
1990-07-02 00:00:00,0.000234375,Dividend,ADBE
1990-09-14 00:00:00,1.5625e-05,Dividend,ADBE
1991-01-09 00:00:00,1.5625e-05,Dividend,ADBE
1991-03-22 00:00:00,0.0003125,Dividend,ADBE
1991-06-26 00:00:00,0.0003125,Dividend,ADBE
1991-09-25 00:00:00,0.0003125,Dividend,ADBE
1992-01-09 00:00:00,0.0003125,Dividend,ADBE
1992-03-23 00:00:00,0.0003125,Dividend,ADBE
1992-06-23 00:00:00,0.0003125,Dividend,ADBE
1992-09-24 00:00:00,0.0003125,Dividend,ADBE
1993-01-19 00:00:00,0.0003125,Dividend,ADBE
1993-03-26 00:00:00,0.000390625,Dividend,ADBE
1993-06-23 00:00:00,0.000390625,Dividend,ADBE
1993-10-01 00:00:00,0.00078125,Dividend,ADBE
1994-01-21 00:00:00,0.00078125,Dividend,ADBE
1994-03-28 00:00:00,0.00078125,Dividend,ADBE
1994-06-30 00:00:00,0.00078125,Dividend,ADBE
1994-09-29 00:00:00,0.00078125,Dividend,ADBE
1995-01-12 00:00:00,0.00078125,Dividend,ADBE
1995-03-31 00:00:00,0.00078125,Dividend,ADBE
1995-07-05 00:00:00,0.00078125,Dividend,ADBE
1995-10-04 00:00:00,0.00078125,Dividend,ADBE
1996-01-17 00:00:00,0.00078125,Dividend,ADBE
1996-04-02 00:00:00,0.00078125,Dividend,ADBE
1996-07-03 00:00:00,0.00078125,Dividend,ADBE
1996-09-30 00:00:00,0.00078125,Dividend,ADBE
1997-01-14 00:00:00,0.00078125,Dividend,ADBE
1997-03-27 00:00:00,0.00078125,Dividend,ADBE
1997-07-02 00:00:00,0.00078125,Dividend,ADBE
1997-07-29 00:00:00,0.00078125,Dividend,ADBE
1997-09-29 00:00:00,0.00078125,Dividend,ADBE
1997-12-30 00:00:00,0.00028125,Dividend,ADBE
1998-04-01 00:00:00,0.00028125,Dividend,ADBE
1998-07-01 00:00:00,0.00028125,Dividend,ADBE
1998-09-21 00:00:00,0.00078125,Dividend,ADBE
1998-12-23 00:00:00,0.00078125,Dividend,ADBE
1999-03-29 00:00:00,0.00078125,Dividend,ADBE
1999-06-29 00:00:00,0.00078125,Dividend,ADBE
1999-09-24 00:00:00,0.00078125,Dividend,ADBE
1999-12-23 00:00:00,0.0015625,Dividend,ADBE
2000-03-23 00:00:00,0.0015625,Dividend,ADBE
2000-06-30 00:00:00,0.0015625,Dividend,ADBE
2000-09-28 00:00:00,0.0015625,Dividend,ADBE
2001-01-02 00:00:00,0.00325,Dividend,ADBE
2001-03-22 00:00:00,0.00325,Dividend,ADBE
2001-06-22 00:00:00,0.00325,Dividend,ADBE
2001-09-21 00:00:00,0.00325,Dividend,ADBE
2001-12-31 00:00:00,0.00325,Dividend,ADBE
2002-03-21 00:00:00,0.00325,Dividend,ADBE
2002-06-21 00:00:00,0.00325,Dividend,ADBE
2002-09-20 00:00:00,0.00325,Dividend,ADBE
2003-01-07 00:00:00,0.00325,Dividend,ADBE
2003-03-20 00:00:00,0.00325,Dividend,ADBE
2003-06-19 00:00:00,0.00325,Dividend,ADBE
2003-09-19 00:00:00,0.00325,Dividend,ADBE
2004-01-07 00:00:00,0.00325,Dividend,ADBE
2004-03-26 00:00:00,0.00325,Dividend,ADBE
2004-06-25 00:00:00,0.00325,Dividend,ADBE
2004-09-24 00:00:00,0.00325,Dividend,ADBE
2004-12-23 00:00:00,0.00325,Dividend,ADBE
2005-03-24 00:00:00,0.00325,Dividend,ADBE
2008-06-30 00:00:00,0.31,Dividend,AGNC
2008-09-25 00:00:00,1.0,Dividend,AGNC
2008-12-29 00:00:00,1.2,Dividend,AGNC
2009-03-31 00:00:00,0.85,Dividend,AGNC
2009-06-30 00:00:00,1.5,Dividend,AGNC
2009-09-30 00:00:00,1.4,Dividend,AGNC
2009-12-29 00:00:00,1.4,Dividend,AGNC
2010-03-29 00:00:00,1.4,Dividend,AGNC
2010-06-28 00:00:00,1.4,Dividend,AGNC
2010-09-24 00:00:00,1.4,Dividend,AGNC
2010-12-29 00:00:00,1.4,Dividend,AGNC
2011-03-21 00:00:00,1.4,Dividend,AGNC
2011-06-21 00:00:00,1.4,Dividend,AGNC
2011-09-21 00:00:00,1.4,Dividend,AGNC
2011-12-20 00:00:00,1.4,Dividend,AGNC
2012-03-05 00:00:00,1.25,Dividend,AGNC
2012-06-19 00:00:00,1.25,Dividend,AGNC
2012-09-19 00:00:00,1.25,Dividend,AGNC
2012-12-24 00:00:00,1.25,Dividend,AGNC
2013-03-18 00:00:00,1.25,Dividend,AGNC
2013-06-26 00:00:00,1.05,Dividend,AGNC
2013-09-26 00:00:00,0.8,Dividend,AGNC
2013-12-27 00:00:00,0.65,Dividend,AGNC
2014-03-25 00:00:00,0.65,Dividend,AGNC
2014-03-27 00:00:00,0.65,Dividend,AGNC
2014-06-26 00:00:00,0.65,Dividend,AGNC
2014-09-26 00:00:00,0.65,Dividend,AGNC
2014-10-29 00:00:00,0.22,Dividend,AGNC
2014-11-25 00:00:00,0.22,Dividend,AGNC
2014-12-29 00:00:00,0.22,Dividend,AGNC
2015-01-28 00:00:00,0.22,Dividend,AGNC
2015-02-25 00:00:00,0.22,Dividend,AGNC
2015-03-27 00:00:00,0.22,Dividend,AGNC
2015-04-28 00:00:00,0.22,Dividend,AGNC
2015-05-27 00:00:00,0.2,Dividend,AGNC
2015-06-26 00:00:00,0.2,Dividend,AGNC
2015-07-29 00:00:00,0.2,Dividend,AGNC
2015-08-27 00:00:00,0.2,Dividend,AGNC
2015-09-28 00:00:00,0.2,Dividend,AGNC
2015-10-28 00:00:00,0.2,Dividend,AGNC
2015-11-25 00:00:00,0.2,Dividend,AGNC
2015-12-29 00:00:00,0.2,Dividend,AGNC
2016-01-27 00:00:00,0.2,Dividend,AGNC
2016-02-25 00:00:00,0.2,Dividend,AGNC
2016-03-29 00:00:00,0.2,Dividend,AGNC
2016-04-27 00:00:00,0.2,Dividend,AGNC
2016-05-26 00:00:00,0.2,Dividend,AGNC
2016-06-28 00:00:00,0.2,Dividend,AGNC
2016-07-27 00:00:00,0.2,Dividend,AGNC
2016-08-29 00:00:00,0.18,Dividend,AGNC
2016-09-28 00:00:00,0.18,Dividend,AGNC
2016-10-27 00:00:00,0.18,Dividend,AGNC
2016-11-28 00:00:00,0.18,Dividend,AGNC
2016-12-28 00:00:00,0.18,Dividend,AGNC
2017-01-27 00:00:00,0.18,Dividend,AGNC
2017-02-24 00:00:00,0.18,Dividend,AGNC
2017-03-29 00:00:00,0.18,Dividend,AGNC
2017-04-26 00:00:00,0.18,Dividend,AGNC
2017-05-26 00:00:00,0.18,Dividend,AGNC
2017-06-28 00:00:00,0.18,Dividend,AGNC
2017-07-27 00:00:00,0.18,Dividend,AGNC
2017-08-29 00:00:00,0.18,Dividend,AGNC
2017-09-28 00:00:00,0.18,Dividend,AGNC
2017-10-30 00:00:00,0.18,Dividend,AGNC
2017-11-29 00:00:00,0.18,Dividend,AGNC
2017-12-28 00:00:00,0.18,Dividend,AGNC
2018-01-30 00:00:00,0.18,Dividend,AGNC
2018-02-27 00:00:00,0.18,Dividend,AGNC
2018-03-28 00:00:00,0.18,Dividend,AGNC
2018-04-27 00:00:00,0.18,Dividend,AGNC
2018-05-30 00:00:00,0.18,Dividend,AGNC
2018-06-28 00:00:00,0.18,Dividend,AGNC
2018-07-30 00:00:00,0.18,Dividend,AGNC
2018-08-30 00:00:00,0.18,Dividend,AGNC
2018-09-27 00:00:00,0.18,Dividend,AGNC
2018-10-30 00:00:00,0.18,Dividend,AGNC
2018-11-29 00:00:00,0.18,Dividend,AGNC
2018-12-28 00:00:00,0.18,Dividend,AGNC
2019-01-30 00:00:00,0.18,Dividend,AGNC
2019-02-27 00:00:00,0.18,Dividend,AGNC
2019-03-28 00:00:00,0.18,Dividend,AGNC
2019-04-29 00:00:00,0.18,Dividend,AGNC
2019-05-30 00:00:00,0.16,Dividend,AGNC
2019-06-27 00:00:00,0.16,Dividend,AGNC
2019-07-30 00:00:00,0.16,Dividend,AGNC
2019-08-29 00:00:00,0.16,Dividend,AGNC
2019-09-27 00:00:00,0.16,Dividend,AGNC
2019-10-30 00:00:00,0.16,Dividend,AGNC
2019-11-27 00:00:00,0.16,Dividend,AGNC
2019-12-30 00:00:00,0.16,Dividend,AGNC
2020-01-30 00:00:00,0.16,Dividend,AGNC
2011-12-08 00:00:00,0.35,Dividend,AMT
2012-04-09 00:00:00,0.21,Dividend,AMT
2012-06-28 00:00:00,0.22,Dividend,AMT
2012-09-27 00:00:00,0.23,Dividend,AMT
2012-12-13 00:00:00,0.24,Dividend,AMT
2013-04-08 00:00:00,0.26,Dividend,AMT
2013-06-13 00:00:00,0.27,Dividend,AMT
2013-09-19 00:00:00,0.28,Dividend,AMT
2013-12-12 00:00:00,0.29,Dividend,AMT
2014-04-08 00:00:00,0.32,Dividend,AMT
2014-06-13 00:00:00,0.34,Dividend,AMT
2014-09-19 00:00:00,0.36,Dividend,AMT
2014-12-12 00:00:00,0.38,Dividend,AMT
2015-04-08 00:00:00,0.42,Dividend,AMT
2015-06-15 00:00:00,0.44,Dividend,AMT
2015-09-21 00:00:00,0.46,Dividend,AMT
2015-12-14 00:00:00,0.49,Dividend,AMT
2016-04-08 00:00:00,0.51,Dividend,AMT
2016-06-15 00:00:00,0.53,Dividend,AMT
2016-09-28 00:00:00,0.55,Dividend,AMT
2016-12-23 00:00:00,0.58,Dividend,AMT
2017-04-10 00:00:00,0.62,Dividend,AMT
2017-06-15 00:00:00,0.64,Dividend,AMT
