sector,priceToSalesTrailing12Months,shortRatio,forwardPE,profitMargins,payoutRatio,logo_url,dividendRate,priceToBook,pegRatio,fiftyDayAverage,symbol,dividendYield,volume,beta,trailingAnnualDividendRate,shortName,twoHundredDayAverage,industry,yield,trailingAnnualDividendYield,marketCap
Real Estate,7.942118,3.58,12.143885,0.53595,1,https://logo.clearbit.com/arescre.com,1.32,1.1353241,2.06,16.308485,ACRE,0.078200005,199303,0.66166,1.3,Ares Commercial Real Estate Cor,15.638913,REIT—Mortgage,,0.077014215,553478272
Technology,16.575958,2.29,32.645744,0.2642,0,https://logo.clearbit.com/adobe.com,,17.391325,1.98,351.33698,ADBE,,1629293,1.05212,,Adobe Inc.,304.41248,Software—Infrastructure,,,185174949888
Real Estate,13.56918,3.29,8.336207,0.89235,1.7241,https://logo.clearbit.com/agnc.com,1.92,1.0348334,-4.9,18.414545,AGNC,0.1004,3762567,0.259717,2,AGNC Investment Corp.,17.029058,REIT—Mortgage,,0.10460251,10461837312
Real Estate,14.5732,2.84,56.07221,0.20577998,1.0028,https://logo.clearbit.com/americantower.com,3.78,21.65371,2.91,236.22182,AMT,0.0147,1546989,0.415194,3.61,American Tower Corporation (REI,223.78941,REIT—Specialty,,0.01405216,113503371264
Financial Services,5.4641757,1.12,10.225806,0.49898997,0.91910005,https://logo.clearbit.com/arescapitalcorp.com,1.6,1.1015232,3.53,18.906061,ARCC,0.083500005,2132421,0.65636,1.59,Ares Capital Corporation - Clos,18.696812,Asset Management,,0.0829421,8125229568
Real Estate,9.416558,9.91,10.279329,0.76722,1.4153999,https://logo.clearbit.com/apolloreit.com,1.84,1.0742016,151.57,18.34697,ARI,0.0986,3949237,,1.84,Apollo Commercial Real Estate F,18.599276,REIT—Mortgage,,0.09855383,2825080576
Utilities,7.3267803,6.51,42.65909,0.17257,0.5136,https://logo.clearbit.com/aswater.com,1.22,5.8014464,7.49,88.17212,AWR,0.013200001,311581,-0.131625,1.13,American States Water Company,88.28159,Utilities—Regulated Water,,0.012212256,3457368320
Industrials,2.5045733,0.91,20.736296,-0.0083099995,,https://logo.clearbit.com/boeing.com,8.22,,5.87,328.99667,BA,0.023699999,4070436,1.30742,8.22,Boeing Company (The),349.38623,Aerospace & Defense,,0.023977598,191747620864
Utilities,3.2718687,6.3,160.26471,-0.00503,,https://logo.clearbit.com/bep.brookfield.com,2.17,2.1309297,,48.417877,BEP,0.040799998,244158,0.697305,2.06,Brookfield Renewable Partners L,42.994854,Utilities—Renewable,,0.038663663,9750168576
Utilities,2.4678571,3.18,37.466217,0.0078799995,28.7143,https://logo.clearbit.com/bip.brookfield.com,2.15,3.2124443,8.17,53.02697,BIP,0.038900003,172054,0.774734,2.01,Brookfield Infrastructure Partn,49.7479,Utilities—Diversified,,0.03635377,16280454144
